"shape_id","route_id","via_variant","trp_direction","trip_headsign"
"450081","45","1","Outbound","Ashmont Station via Blue Hill Ave."
"450082","45","_","Inbound","Ruggles Station via Blue Hill Ave."
"450083","45","_","Outbound","Franklin Park via Blue Hill Ave."
"450084","45","3","Outbound","Franklin Park via Blue Hill Ave."
"450085","45","3","Inbound","Ruggles Station via Blue Hill Ave."
"450086","45","1","Inbound","Ruggles Station via Blue Hill Ave."
"4510027","451","_","Inbound","Salem Depot via Cummings Center & Cabot St."
"4510032","451","1","Inbound","Salem Depot via Tozer Rd. & Cummings Center"
"4510033","451","1","Outbound","North Beverly via Tozer Rd."
"4510034","451","_","Outbound","North Beverly via Cabot St. & Cummings Center"
"4550105","455","5","Inbound","Wonderland via Western Ave."
"4550120","455","3","Inbound","West Lynn via Central Square"
"4550121","455","6","Outbound","Salem Depot via Loring Ave. & Central Square"
"4550122","455","9","Outbound","Salem Depot via Central Square & Loring Ave."
"4550123","455","8","Outbound","Salem Depot via Central Square & Loring Ave."
"4550124","455","7","Outbound","Salem Depot via Central Square & Loring Ave."
"4550128","455","4","Outbound","Salem Depot via Central Square & Loring Ave."
"4550131","455","7","Inbound","Wonderland via Loring Ave. & Central Square"
"4550132","455","8","Inbound","West Lynn via Central Square"
"4550133","455","6","Inbound","Wonderland via Loring Ave. & Central Square"
"4560034","456","9","Outbound","Salem Depot via Eastern & Highland"
"4560035","456","_","Outbound","Salem Depot via Eastern & Highland"
"4560038","456","_","Inbound","Central Square via Highland & Eastern"
"4590023","459","_","Outbound","Salem Depot via Logan Airport & Central Square (Express)"
"4590024","459","_","Inbound","Downtown Crossing via Central Square & Logan Airport (Express)"
"4650017","465","1","Outbound","Danvers Square via North & Margin"
"4650024","465","_","Inbound","Salem Depot via Malls & Peabody Square"
"4650028","465","_ou","Outbound","Danvers Square via Peabody Square & Malls"
"4650029","465","1","Inbound","Salem Depot via North & Margin"
"470103","47","8","Outbound","Central Square, Cambridge via Longwood & Boston Medical Center"
"470104","47","8","Inbound","Broadway Station via Boston Medical Center"
"470105","47","3","Outbound","Central Square, Cambridge via Longwood & Boston Medical Center"
"470106","47","3","Inbound","Boston Medical Center via Dudley Station"
"500026","50","_","Outbound","Cleary Square via Roslindale Square"
"500027","50","_","Inbound","Forest Hills Station via Roslindale Square"
"5010047","501","_","Inbound","Downtown via Mass. Pike (Express)"
"5010048","501","1","Inbound","Downtown via Mass. Pike (Express)"
"5010049","501","3","Inbound","Downtown via Mass. Pike (Express)"
"5010054","501","_ou","Outbound","Brighton via Mass. Pike (Express)"
"5010055","501","1","Outbound","Brighton via Mass. Pike (Express)"
"5020017","502","_","Inbound","Copley Square via Newton Corner & Mass. Pike (Express)"
"5020031","502","_","Outbound","Watertown via Newton Corner & Mass. Pike (Express)"
"5030025","503","_","Inbound","Copley Square via Oak Square & Mass. Pike (Express)"
"5030026","503","_ou","Outbound","Brighton Center via Mass. Pike & Cambridge St. (Express)"
"5030027","503","1","Inbound","Copley Square via Mass. Pike (Express)"
"5030034","503","1ou","Outbound","Brighton Center via Mass. Pike & Oak Square (Express)"
"5040031","504","2","Inbound","Downtown via Copley Square & Newton Corner & Mass. Pike (Express)"
"5040040","504","_","Inbound","Downtown via Newton Corner & Mass. Pike (Express)"
"5040049","504","2ou","Outbound","Watertown via Copley Square & Newton Corner & Mass. Pike (Express)"
"5040050","504","_","Outbound","Watertown via Newton Corner & Mass. Pike (Express)"
"5050035","505","1","Inbound","Downtown via Mass. Pike (Express)"
"5050036","505","_","Inbound","Downtown via Mass. Pike (Express)"
"5050038","505","_ou","Outbound","Central Square via Waltham & Mass. Pike (Express)"
"5050039","505","1ou","Outbound","Central Square via Waltham & Mass. Pike (Express)"
"510060","51","1","Inbound","Forest Hills Station via Putterham"
"510062","51","_","Outbound","Cleveland Circle via Putterham"
"510063","51","_","Inbound","Forest Hills Station via Putterham"
"510064","51","9ou","Outbound","Union Sq, Allston via Reservoir"
"510065","51","9","Inbound","Forest Hills via Reservoir"
"520092","52","_","Outbound","Charles River via Parker St."
"520093","52","4","Outbound","Charles River via Parker St. & Newton Corner"
"520138","52","6","Outbound","Charles River via Winchester St."
"520144","52","7","Inbound","Watertown Yard via Winchester St."
"520145","52","1","Outbound","Dedham Mall via Parker St."
"520146","52","1","Inbound","Watertown Yard via Parker St."
"520147","52","7","Outbound","Dedham Mall via Winchester St."
"520148","52","5","Inbound","Watertown Yard via Parker St."
"520149","52","4","Inbound","Watertown Yard via Parker St."
"520150","52","_","Inbound","Watertown Yard via Parker St."
"520151","52","5","Outbound","Dedham Mall via Parker St."
"550026","55","_","Outbound","Queensberry St. via Ipswich St."
"550039","55","1ou","Outbound","Queensberry St. via Copley Station"
"550048","55","_","Inbound","Copley Station via Ipswich St."
"550050","55","1","Inbound","Park St. & Tremont St. via Copley Station"
"5530071","553","7","Outbound","Roberts via West Newton"
"5530076","553","7","Inbound","Newton Corner via West Newton"
"5530077","553","1ou","Outbound","Waltham via Copley & Newton (Express)"
"5530078","553","1","Inbound","Downtown via Newton Corner & Copley (Express)"
