old_route_id_short,via_variant,old_direction,new_direction,replace_route_id,new_route_id_short,replace_via_variant,new_via_variant
238,A,Outbound,Holbrook/Randolph,0,,0,
24,_,Inbound,Mattapan,0,,0,
24,_,Outbound,Wakefield Ave,0,,0,
240,_,Inbound,Ashmont,0,,0,
240,_,Outbound,Crawford Square,0,,0,
240,1,Inbound,Ashmont,0,,0,
240,1,Outbound,Avon Square,0,,0,
240,2,Inbound,Quincy Center via North Randolph,0,,0,
240,2,Outbound,Crawford Square,0,,0,
240,3,Inbound,Quincy Center via North Randolph,0,,0,
240,3,Outbound,Holbrook/Randolph via Crawford Square,0,,0,
240,4,Outbound,Avon Square,0,,0,
240,7,Inbound,Quincy Center via North Randolph,0,,0,
240,7,Outbound,Avon Square,0,,0,
240,8,Outbound,Avon Square,0,,0,
240,9,Inbound,Ashmont,0,,0,
240,9,Outbound,Holbrook/Randolph via Crawford Square,0,,0,
240,G,Inbound,Ashmont,0,,1,_
24,1,Outbound,Wakefield Ave,0,,0,
24,2,Inbound,Ashmont,1,2427,0,
24,2,Outbound,Wakefield Ave,1,2427,0,
24,3,Inbound,Mattapan,0,,0,
24,4,Inbound,Mattapan,0,,0,
24,4,Outbound,Logan Square,0,,0,
24,5,Inbound,Ashmont,1,2427,0,
245,_,Inbound,Mattapan,0,,0,
245,_,Outbound,Quincy Center,0,,0,
245,1,Inbound,Mattapan via Brook Rd,0,,0,
245,1,Outbound,Quincy Center via Brook Rd,0,,0,
245,2,Outbound,Quincy Center via Canton Ave,0,,0,
245,3,Inbound,Hospital Hill,0,,0,
245,5,Inbound,Beale & Newport,0,,0,
245,7,Inbound,Hospital Hill,0,,0,
245,9,Inbound,Mattapan via Brook Rd,0,,0,
245,9,Outbound,Brook & Centre,0,,0,
249,9,Inbound,South Station,0,,0,
25,_,Inbound,Ruggles via Grove Hall,0,,0,
25,_,Outbound,Franklin Park via Grove Hall,0,,0,
26,1,Inbound,Gallivan Blvd via Norfolk St,0,,0,
26,1,Outbound,Ashmont via Washington St,0,,0,
26,2,Inbound,Gallivan Blvd via Washington St,0,,0,
26,2,Outbound,Ashmont via Norfolk St,0,,0,
27,_,Inbound,Ashmont,0,,0,
27,_,Outbound,Mattapan,0,,0,
27,1,Inbound,Ashmont via Roslindale Square,0,,0,
27,1,Outbound,Millennium Park via Mattapan,0,,0,
27,A,Inbound,Ashmont,0,,0,
27,B,Outbound,Millennium Park via Mattapan,0,,0,
274,_,Inbound,Long Island,0,,0,
274,_,Outbound,Long Island,0,,0,
275,1,Inbound,Downtown via Harrison,0,,0,
275,1,Outbound,Long Island,0,,0,
275,2,Outbound,Long Island,0,,0,
275,3,Inbound,Washington & Kneeland,0,,0,
275,5,Inbound,JFK/UMass,0,,0,
275,8,Inbound,Washington & Kneeland,0,,0,
275,8,Outbound,Long Island,0,,0,
276,_,Outbound,Long Island,0,,0,
276,5,Inbound,Boston Medical Center,0,,0,
276,6,Inbound,Downtown Boston,0,,0,
277,_,Inbound,Downtown via Park St,0,,0,
28,_,Inbound,Ruggles,0,,0,
28,_,Outbound,Mattapan,0,,0,
28,2,Inbound,Dudley,0,,0,
28,3,Outbound,Mattapan,0,,0,
28,5,Inbound,Ruggles,0,,0,
28,6,Outbound,Mattapan,0,,0,
28,7,Inbound,Ruggles,0,,0,
28,9,Outbound,Mattapan,0,,0,
29,_,Inbound,Ruggles,0,,0,
29,_,Outbound,Mattapan,0,,0,
29,1,Inbound,Jackson via Franklin Field,0,,0,
29,1,Outbound,Mattapan via Franklin Field,0,,0,
29,5,Inbound,Jackson,0,,0,
29,5,Outbound,Mattapan,0,,0,
29,6,Outbound,Mattapan,0,,0,
30,_,Inbound,Roslindale Square,0,,0,
30,_,Outbound,Mattapan,0,,0,
30,2,Inbound,Forest Hills,0,,0,
30,2,Outbound,Mattapan,0,,0,
30,A,Inbound,Millennium Park via Roslindale Square,0,,0,
30,A,Outbound,Ashmont via Mattapan,0,
31,_,Inbound,Forest Hills,0,,0,
31,_,Outbound,Mattapan,0,,0,
32,_,Inbound,Forest Hills,0,,0,
32,_,Outbound,Cleary Square,0,,0,
32,1,Inbound,Forest Hills,0,,0,
32,1,Outbound,Wolcott Square,0,,0,
32,3,Inbound,Forest Hills,0,,0,
32,3,Outbound,Wolcott Square,0,,0,
32,4,Outbound,Wolcott Square via Forest Hills,0,,0,
32,5,Inbound,Forest Hills via River St,1,3233,0,
32,5,Outbound,River St & Milton St,1,3233,0,
32,B,Outbound,Wolcott Square,0,,0,
32,C,Inbound,Avenue Louis Pasteur via Forest Hills,0,,0,
325,_,Inbound,Haymarket (Express),0,,0,
325,_,Outbound,Elm St Medford (Express),0,,0,
325,1,Inbound,Haymarket (Express),0,,0,
325,1,Outbound,Elm St Medford (Express),0,,0,
325,2,Outbound,Roosevelt Circle (Express),0,,0,
326,_,Inbound,Haymarket (Express),0,,0,
326,_,Outbound,West Medford (Express),0,,0,
326,1,Inbound,Haymarket (Express),0,,0,
326,1,Outbound,West Medford (Express),0,,0,
326,2,Outbound,Medford Square (Express),0,,0,
32,9,Inbound,Townsend & Humboldt,0,,0,
32,9,Outbound,Wolcott Square,0,,0,
33,1,Inbound,Mattapan,0,,0,
33,1,Outbound,River St & Milton St,0,,0,
33,4,Inbound,Forest Hills,0,,0,
33,4,Outbound,River & Milton via Cleary Sq,1,3233,1,5
33,5,Inbound,Mattapan,0,,0,
33,5,Outbound,River St & Milton St,0,,0,
33,6,Inbound,Mattapan,0,,0,
33,6,Outbound,River St & Milton St,0,,0,
33,7,Inbound,Forest Hills,0,,0,
34,_,Inbound,Forest Hills,0,,0,
34,_,Outbound,Dedham Line,0,,0,
34,1,Inbound,Avenue Louis Pasteur via Forest Hills,0,,0,
34,1,Outbound,Dedham Line via Forest Hills,0,,0,
34E,1,Inbound,Forest Hills,0,,0,
34E,1,Outbound,Walpole Center,0,,0,
34E,2,Outbound,Walpole Center via Walpole St,0,,0,
34E,3,Outbound,Walpole Center via Dedham Mall (Express to LaGrange St),0,,0,
34E,4,Inbound,Forest Hills,0,,1,1
34E,4,Outbound,Walpole Center via Washington St,0,,0,
34E,5,Inbound,Forest Hills,0,,1,1
34E,5,Outbound,Walpole Center (Express to LaGrange St),0,,0,
34E,6,Inbound,Forest Hills,0,,0,
34E,6,Outbound,East Walpole,0,,0,
34E,7,Inbound,Forest Hills via Dedham Mall,0,,0,
34E,7,Outbound,Walpole Center via Dedham Mall,0,,1,3
34E,8,Inbound,Forest Hills via Dedham Mall,0,,0,
34E,8,Outbound,East Walpole via Dedham Mall,0,,0,
34E,9,Inbound,Forest Hills via Dedham Mall & Walpole St,0,,0,
34E,9,Outbound,Walpole Center via Dedham Mall,0,,0,
34,K,Inbound,Townsend & Humboldt,0,,0,
34,K,Outbound,Dedham Line,0,,0,
34,A,Outbound,Dedham Line,0,,0,
34,B,Inbound,Avenue Louis Pasteur via Forest Hills,0,,0,
34E,T,Outbound,Walpole Center via Walpole St,0,,0,
34E,U,Inbound,Forest Hills via Dedham Mall,0,,0,
34E,U,Outbound,Walpole Center via Dedham Mall,0,,0,
34E,Y,Inbound,Forest Hills via Dedham Mall,0,,0,
35,_,Inbound,Forest Hills,0,,0,
35,_,Outbound,Stimson St,0,,0,
350,3,Outbound,Burlington Mall,0,,0,
350,4,Inbound,Alewife,0,,0,
350,4,Outbound,Burlington,0,,0,
350,5,Inbound,Alewife via Mall,0,,0,
350,5,Outbound,Burlington via Mall,0,,0,
350,6,Inbound,Alewife,0,,0,
350,7,Outbound,Burlington via Mall Rd,0,,0,
350,9,Inbound,Arlington Center,0,,0,
350,9,Outbound,Burlington,0,,0,
35,1,Inbound,Forest Hills,0,,0,
35,1,Outbound,Dedham Mall,0,,0,
351,3,Inbound,Alewife (Express),0,,0,
351,3,Outbound,Oak Park & Bedford Woods (Express),0,,0,
35,2,Inbound,Avenue Louis Pasteur,0,,0,
352,_,Inbound,Boston (Express),0,,0,
352,_,Outbound,Burlington (Express),0,,0,
35,3,Outbound,Dedham Mall,0,,0,
354,_,Inbound,Boston (Express),0,,0,
354,_,Outbound,Woburn (Express),0,,0,
354,3,Inbound,Boston via West Cummings (Express),0,,0,
354,3,Outbound,Woburn via West Cummings (Express),0,,0,
354,4,Outbound,Burlington (Express),0,,0,
354,5,Inbound,Boston via Medford Square (Express),0,,0,
354,5,Outbound,Woburn via Medford Square (Express),0,,0,
355,_,Inbound,Boston via West Cummings,0,,0,
355,_,Outbound,Mishawum via West Cummings (Express),0,,0,
36,_,Inbound,Forest Hills,0,,0,
36,_,Outbound,Charles River Loop,0,,0,
36,2,Inbound,Avenue Louis Pasteur via Forest Hills,0,,0,
